station id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
09206401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05161400,84,67,64,61,43,49,13,38,31,39,33,42,25,1,26,51,,,,,,,,,,,,,,,,,,
73257400,12,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05072400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64330400,,,,,,,,,,,,,,,,,,,,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
66188401,,,,,,,,,,,,,,,,,,,,,,,,53,15,,,30,69,52,90,4,41,
26142001,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,
74056403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05181002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
74085400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007402,105,,,,,,131,,,,,,,,,20,24,2,,0,0,,0,0,0,0,0,155,0,0,,0,57,
04062400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38527401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09135400,,,,,,,,,,,,,,,10,5,6,37,23,39,16,,,51,2,,23,23,36,61,,25,37,21
64336400,50,2,1,,,61,,,2,2,0,,,1,,0,16,,,,,,,,,,,,,,,,,
73322401,,,,,,,,,,,,,,16,8,26,2,17,25,14,18,0,22,23,12,0,16,21,4,23,20,41,36,31
73023001,0,0,0,,,0,0,,0,0,,0,,0,0,,,0,0,0,0,,0,0,0,,0,0,80,84,113,,,
203000460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74033400,,,,,,,,,,,,,,,,,30,19,36,36,41,16,37,34,35,10,46,65,26,24,46,13,44,41
73318401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66206002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05096003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
74056419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,51,166,35
20023400,7,8,,,,4,,,,,,,,,,,,,,,,,,,47,64,,38,68,,,,20,
203000407,,,,,,,,,0,0,128,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,
38253400,53,68,65,45,47,46,19,41,46,58,41,38,26,45,29,55,40,35,37,37,42,43,47,30,59,12,41,72,51,37,55,38,40,52
20007401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73132003,,,,,,,,,,12,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
73296401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73194005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
73034401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04096401,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04019401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65388001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31123005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,18,0
73280001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26290401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99130409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74032401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05023403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007400,29,12,,,,11,,,0,,,,,98,,,,26,11,2,8,,2,16,2,0,,1,0,0,,1,0,
73306401,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31042012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66095001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05114402,,,,,,,,,,,,,,,,,,,,,,,,30,31,2,1,28,11,13,17,,39,0
73257001,0,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
99130401,19,1,24,26,0,40,17,22,3,0,19,0,10,18,8,0,28,0,38,25,2,14,20,16,5,34,24,15,0,22,22,10,21,9
05139405,,,,,,,,,,,,,,,,,5,4,0,0,0,0,29,19,40,0,18,17,13,0,0,0,34,24
74173401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38472002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
09070401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73123402,,,,,,,,,,,,,,,,,,,,,,,,,20,,,39,16,14,36,7,106,26
74014401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65017002,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,4,,,,
05119403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05096400,33,0,8,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
204012911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
74136400,30,0,11,0,,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,16
05064403,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,,0,0,0,0,,,0,
74080002,,,,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
05139400,0,0,,,,0,,,0,,,,,0,,,,,,,,,,0,0,,,,,,,,,
38285001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20124400,23,,23,21,,30,,,17,42,,,,,,,,,,,,,,,,,,,,,,,,
38548402,0,0,,,,0,,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,
73015401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06120002,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,
73054402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31042001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38020400,27,3,7,,,0,0,,0,6,1,0,0,20,0,0,0,0,0,0,0,,0,0,0,0,0,11,0,0,0,0,8,0
05077402,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05001401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64316001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38005400,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66188400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000400,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,
64040400,36,0,2,0,,38,0,0,34,0,0,,,1,0,0,0,0,29,0,0,6,0,23,0,2,0,29,2,28,5,0,6,14
64316400,28,0,,,,0,,,41,0,0,,,0,,,,0,,0,0,,,0,,,,0,0,0,,,0,
05096402,,,,,,,,0,22,7,0,0,0,0,26,34,0,0,23,0,28,1,35,15,24,0,4,20,0,2,3,0,34,1
65188401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38366001,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,
74056409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38191408,,,,,,46,19,31,36,60,38,38,32,31,25,46,22,10,30,37,35,11,36,32,46,21,43,61,45,20,55,63,48,49
04096001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
