station id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
09206401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05161400,64,68,60,38,54,61,60,73,90,80,37,37,50,77,48,74,,,,,,,,,,,,,,,,,,
73257400,0,25,0,23,0,46,31,55,34,0,5,3,0,23,15,0,0,0,0,0,10,0,22,13,2,15,1,7,23,0,0,0,18,0
05072400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64330400,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66188401,,,,,,,,,,,,,,,,,,,,,,,4,2,0,0,,1,41,7,2,66,27,
26142001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74056403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05181002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0
74085400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007402,0,,,,,,27,,,,,,,,58,14,0,18,,0,0,,0,1,0,0,0,2,0,0,0,0,0,
04062400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38527401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09135400,,,,,,,,,,,,,,,39,31,44,41,29,48,45,39,,22,14,,0,34,37,29,,27,26,1
64336400,3,52,47,41,,50,,,20,23,2,,,12,68,0,0,,,,,,,,,,,,,,,,,
73322401,,,,,,,,,,,,,,48,31,55,50,40,58,36,16,11,37,35,16,36,17,43,44,14,12,15,26,0
73023001,0,0,0,,,0,0,,0,0,,0,0,0,0,,,0,0,0,0,,0,0,0,,0,0,0,0,,51,,
203000460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74033400,,,,,,,,,,,,,,,,,61,62,56,33,23,2,1,31,22,35,20,21,45,0,45,67,43,8
73318401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66206002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05096003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
74056419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,73,62,64
20023400,6,6,,,,0,1,,,,,,,,,,,,,,,,,,66,47,,73,,,,,22,
203000407,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,
38253400,42,55,36,35,39,39,59,26,83,48,24,29,33,71,35,67,47,30,45,49,0,21,21,37,47,38,38,40,29,39,14,32,29,37
20007401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73132003,,,,,,,,,,13,37,17,2,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0
73296401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73194005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
73034401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04096401,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04019401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65388001,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,
203000446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31123005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0,0
73280001,,,,,,,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26290401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99130409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74032401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05023403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007400,6,2,,,,23,,,2,,,,,32,,,71,5,34,10,38,,2,18,2,2,,2,2,0,,3,3,
73306401,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31042012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66095001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05114402,,,,,,,,,,,,,,,,,,,,,,,,46,22,36,6,21,5,0,0,1,19,30
73257001,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0
